"Text","Difficulty","","","","","","","","","","","","","","","","","","","","",""
"Lucie a préparé une tarte aux framboises pour ses grands-parents et ses cousins. ","A2","","","","","","","","","","","","","","","","","","","","",""
"Ça fait un moment que je n'ai pas appelé mes parents pour prendre de leurs nouvelles. ","A2","","","","","","","","","","","","","","","","","","","","",""
"C'est mon restaurant préféré, j'y suis allé deux fois cette semaine! ","A2","","","","","","","","","","","","","","","","","","","","",""
"Je vais aller prendre du pain à la boulangerie pour le petit-dejeuner.","A2","","","","","","","","","","","","","","","","","","","","",""
"Tes mains étaient gelées après le ski.","A2","","","","","","","","","","","","","","","","","","","","",""
"La petite fille était cachée derrière les rideaux.","A2","","","","","","","","","","","","","","","","","","","","",""
"Tu était déjà allé voir cette pièce de théâtre ?","A2","","","","","","","","","","","","","","","","","","","","",""
"Nous mangions tranquillement notre dîner dans la salle à manger.","A2","","","","","","","","","","","","","","","","","","","","",""
"Comment a-t-il trouvé ce joli chemin ?","A2","","","","","","","","","","","","","","","","","","","","",""
"Où étais-tu hier soir aux alentours de dix heure ?","A2","","","","","","","","","","","","","","","","","","","","",""
"J'allais à la poste quand j'ai croisé ma cousine et son mari.","A2","","","","","","","","","","","","","","","","","","","","",""
"Vous avez bien entendu ce que le professeur a dit avant? ","A2","","","","","","","","","","","","","","","","","","","","",""
"La bibliothèque était déjà fermée quand j'y suis allé hier après-midi.","A2","","","","","","","","","","","","","","","","","","","","",""
"Mon ami Gabin aimait raconter n'importe quoi à ses amis pour les rendre jaloux.","A2","","","","","","","","","","","","","","","","","","","","",""
"Les élèves étaient excités d'aller à la piscine municipale.","A2","","","","","","","","","","","","","","","","","","","","",""
"J'avais une idée derrière la tête.","A2","","","","","","","","","","","","","","","","","","","","",""
"Les animaux sont soignés dans le zoo par un vétérinaire","A2","","","","","","","","","","","","","","","","","","","","",""
"Tu aimais te déguiser en princesse quand tu étais petite.","A2","","","","","","","","","","","","","","","","","","","","",""
"Range ta chambre à  coucher avant que tes amis arrivent pour le goûter.","A2","","","","","","","","","","","","","","","","","","","","",""
"Laisse tomber les filles méchantes.","A2","","","","","","","","","","","","","","","","","","","","",""
"Tu as aimé ce livre de poésies ?","A2","","","","","","","","","","","","","","","","","","","","",""
"J'y suis allé hier en scooter.","A2","","","","","","","","","","","","","","","","","","","","",""
"Il a planté des laitues dans son potager.","A2","","","","","","","","","","","","","","","","","","","","",""
"Nous étions impatients de partir en randonnée. ","A2","","","","","","","","","","","","","","","","","","","","",""
"Tu es en train de laver la vaisselle à la main ? ","A2","","","","","","","","","","","","","","","","","","","","",""
"Ce soir nous allons au restaurant chinois entre camarades.","A2","","","","","","","","","","","","","","","","","","","","",""
"Le joueur va recevoir une médaille pour sa victoire.","A2","","","","","","","","","","","","","","","","","","","","",""
"Je vais me promener dans le parc avec mon camarade.","A2","","","","","","","","","","","","","","","","","","","","",""
"Je vais trouver une autre solution à ce problème.","A2","","","","","","","","","","","","","","","","","","","","",""
"L'inspecteur a trouvé des preuves.","A2","","","","","","","","","","","","","","","","","","","","",""
"Je suis arrivé en retard à mon rendez-vous quotidien.","A2","","","","","","","","","","","","","","","","","","","","",""
"Mon chapeau s'est envolé quand je suis monté sur le voilier.","A2","","","","","","","","","","","","","","","","","","","","",""
"Je vais fermer la porte à clé par sécurité. ","A2","","","","","","","","","","","","","","","","","","","","",""
"Tu as réussi ton examen de maths ?","A2","","","","","","","","","","","","","","","","","","","","",""
"Les corbeaux ont attaqué une cycliste dans le parc.","A2","","","","","","","","","","","","","","","","","","","","",""
"Le public n'a pas reconnu son talent.","A2","","","","","","","","","","","","","","","","","","","","",""
"La télévision est restée éteinte toute la soirée.","A2","","","","","","","","","","","","","","","","","","","","",""
"Leur bus est parti sans eux.","A2","","","","","","","","","","","","","","","","","","","","",""
"Ces touristes étaient très bruyants au restaurant.","A2","","","","","","","","","","","","","","","","","","","","",""
"So histoire était intéresssante mais fausse.","A2","","","","","","","","","","","","","","","","","","","","",""
"Mon journal intime a disparu !","A2","","","","","","","","","","","","","","","","","","","","",""
"Tu as entendu ce bruit ?","A2","","","","","","","","","","","","","","","","","","","","",""
"Qui est déjà monté à cheval ?","A2","","","","","","","","","","","","","","","","","","","","",""
"J'ai été en forme toute la matinée.","A2","","","","","","","","","","","","","","","","","","","","",""
"Non Paul tu restes là ! Tu es sorti toute la journée.","A2","","","","","","","","","","","","","","","","","","","","",""
"Vous avez révisé pour votre examen ?","A2","","","","","","","","","","","","","","","","","","","","",""
"Ils ont peint le mur sale de la cuisine.","A2","","","","","","","","","","","","","","","","","","","","",""
"Je rentrais chaque jour en compagnie de mon amoureux.","A2","","","","","","","","","","","","","","","","","","","","",""
"Anna s'amusait avec son frère quand il s'est cassé le bras gauche.","A2","","","","","","","","","","","","","","","","","","","","",""
"Le téléphone fixe sonnait toutes les cinq minutes.","A2","","","","","","","","","","","","","","","","","","","","",""
"Mes parents s'arrangeaient toujours pour me préparer une fête incroyable.","A2","","","","","","","","","","","","","","","","","","","","",""
"Mon patron m'a augmenté mon salaire.","A2","","","","","","","","","","","","","","","","","","","","",""
"Il fumait un paquet de cigarettes par jour avant d'arrêter.","A2","","","","","","","","","","","","","","","","","","","","",""
"Inscrivez votre nom, votre prénom et votre numéro de contribuable.","A2","","","","","","","","","","","","","","","","","","","","",""
"Je vous soigne si vous avez mal aux dents.","A2","","","","","","","","","","","","","","","","","","","","",""
"Je débouche votre lavabo ou votre baignoire","A2","","","","","","","","","","","","","","","","","","","","",""
"Ils font à manger et ils nettoient toujours la cuisine juste après.","A2","","","","","","","","","","","","","","","","","","","","",""
"Nous vivons au Canada ; c’est un pays nordique.","A2","","","","","","","","","","","","","","","","","","","","",""
"Quand on est petit, on apprend à marcher dès huit mois.","A2","","","","","","","","","","","","","","","","","","","","",""
"Envoie le message à tes amis, d’accord ?","A2","","","","","","","","","","","","","","","","","","","","",""
"Ils finissent le jardinage et ils rentrent se laver les mains avec du savon.","A2","","","","","","","","","","","","","","","","","","","","",""
"Chaque soir, je lis un peu et je dors sur le divan.","A2","","","","","","","","","","","","","","","","","","","","",""
"J'ai promis de dire la vérité au juge.","A2","","","","","","","","","","","","","","","","","","","","",""
"Tu remplis le pot d’eau et tu mets des glaçons.","A2","","","","","","","","","","","","","","","","","","","","",""
"Mes voisins voulaient quitter le pays en cachette.","A2","","","","","","","","","","","","","","","","","","","","",""
"Tu entends ce bruit étrange ?","A2","","","","","","","","","","","","","","","","","","","","",""
"Ils fesaient une grande fête chaque année dans le quartier.","A2","","","","","","","","","","","","","","","","","","","","",""
"Nous voulions visiter le musée mais nous devions payer l’entrée.","A2","","","","","","","","","","","","","","","","","","","","",""
"Mes frères vendent leurs articles de sport.","A2","","","","","","","","","","","","","","","","","","","","",""
"Quand je lis, je découvre de nouvelles choses intéressantes.","A2","","","","","","","","","","","","","","","","","","","","",""
"Vous devez de l’argent à tous vos amis à cause de ce défi.","A2","","","","","","","","","","","","","","","","","","","","",""
"Pâques est une fête catholique célébrée le 21 avril","A2","","","","","","","","","","","","","","","","","","","","",""
"Traditionnellement les chocolats sont en forme d'œufs mais aussi d'animaux comme des poussins, lapins, moutons...","A2","","","","","","","","","","","","","","","","","","","","",""
"Oui, avec ce grand soleil, je commence à réfléchir à des projets de vacances.","A2","","","","","","","","","","","","","","","","","","","","",""
"En juillet, ma famille et moi irons dans le Sud de la France.","A2","","","","","","","","","","","","","","","","","","","","",""
"Nous visiterons les calanques de Marseille.","A2","","","","","","","","","","","","","","","","","","","","",""
"Et en août, nous passerons peut-être quelques jours dans les montagnes.","A2","","","","","","","","","","","","","","","","","","","","",""
"Chaque été, nous nous rendons au chalet de mes grands-parents.","A2","","","","","","","","","","","","","","","","","","","","",""
"Mais cette année, nous ne savons pas si nous pourrons y aller.","A2","","","","","","","","","","","","","","","","","","","","",""
"Je suis l'itinéraire donné par Pierre, un ami français.","A2","","","","","","","","","","","","","","","","","","","","",""
"Je commence par un petit-déjeuner dans un café près de l'Arc de Triomphe avec des croissants délicieux","A2","","","","","","","","","","","","","","","","","","","","",""
"Après une marche sur les Champs-Élysées, je suis au pied de la Tour Eiffel.","A2","","","","","","","","","","","","","","","","","","","","",""
"Je suis fatiguée et préfère prendre le métro pour aller à l'Île de la Cité.","A2","","","","","","","","","","","","","","","","","","","","",""
"Il faut savoir que les étudiants comme les travailleurs attendent ces vacances avec impatiente.","A2","","","","","","","","","","","","","","","","","","","","",""
"La majorité des Français ne restent pas dans leur région durant les vacances d'été","A2","","","","","","","","","","","","","","","","","","","","",""
"Ils préfèrent alors rester à la maison et profitent du temps libre pour visiter leurs familles ou se balader en ville.","A2","","","","","","","","","","","","","","","","","","","","",""
"Quand il y a un grand soleil sur la carte, il fera chaud sur la région.","A2","","","","","","","","","","","","","","","","","","","","",""
"Quand la météo indique un soleil avec des nuages, il y aura peu de soleil et il y aura souvent du vent.","A2","","","","","","","","","","","","","","","","","","","","",""
"Il y a deux possibilités : soit son accent lui permettra d’être connu et ce sera très bien.","A2","","","","","","","","","","","","","","","","","","","","",""
